Check ID,Check Name,File Type,Description,Severity,Risk,Enforcement Level
DF_BASE_001,Use specific base image version tag,Dockerfile,Always specify an explicit version tag for base images instead of using 'latest' tag to ensure reproducible builds and predictable behavior,Critical,"Using 'latest' tag can introduce breaking changes when base image is updated, potentially introducing vulnerabilities",DENY
DF_BASE_002,Use minimal/hardened base images,Dockerfile,"Prefer minimal base images (Alpine, Distroless, Chainguard) to reduce attack surface and image size",High,Bloated base images with unnecessary packages increase vulnerability exposure and deployment time,WARN
DF_BASE_003,Use trusted registry for base images,Dockerfile,"Only pull base images from trusted official registries (Docker Hub Official, trusted vendors)",Critical,Untrusted registries may contain compromised or malicious images leading to supply chain attacks,DENY
DF_BASE_004,Use base image digest instead of tag,Dockerfile,Pin base images by SHA256 digest for maximum reproducibility and security,High,"Tags can be modified or re-tagged, allowing tag substitution attacks; digest is immutable",WARN
DF_BASE_005,Verify base image is maintained and updated,Dockerfile,Choose base images that are actively maintained and regularly patched for security vulnerabilities,High,Unmaintained base images will accumulate unpatched vulnerabilities over time,WARN
DF_USER_001,Create and use non-root user,Dockerfile,"Create a non-root user for the application and ensure the container runs with this user, not root",Critical,Running as root allows attackers to easily gain full system access if container is compromised,DENY
DF_USER_002,Ensure final USER is not root,Dockerfile,The last USER instruction in Dockerfile must specify a non-root user to prevent privilege escalation,Critical,"Container will execute as root, enabling full host compromise if escape vulnerability is exploited",DENY
DF_USER_003,Remove SUID and SGID bits from files,Dockerfile,Remove setuid and setgid bits from files in the image to prevent privilege escalation,High,SUID/SGID binaries can be exploited by attackers to elevate privileges within container,WARN
DF_USER_004,Use explicit UID/GID for user,Dockerfile,Create users with explicit numeric UID/GID for consistency across different environments,Medium,Dynamic UID assignment can cause permission mismatches and security issues in shared environments,WARN
DF_FILE_001,Use COPY instead of ADD instruction,Dockerfile,Use COPY for adding files to container; only use ADD for tar/gzip extraction from URLs,Medium,ADD has implicit tar extraction and URL download functionality that can cause unexpected behavior and security issues,WARN
DF_FILE_002,Explicitly COPY required files only,Dockerfile,Copy only necessary files to container instead of copying entire directory with COPY . .,High,"Copying all files may inadvertently include secrets, credentials, or development artifacts in production image",DENY
DF_FILE_003,Set appropriate file permissions,Dockerfile,"Set restrictive file permissions (chmod) on copied files, especially for sensitive config files",High,World-readable sensitive files can be accessed by any process in the container,WARN
DF_FILE_004,Avoid curl bashing and pipe commands,Dockerfile,Do not use patterns like 'curl | bash' or 'wget | sh' as they bypass verification and can execute malicious code,Critical,Pipe-based execution skips verification steps and can be intercepted to inject malicious commands,DENY
DF_SEC_001,Do not hardcode secrets in Dockerfile,Dockerfile,"Never hardcode API keys, passwords, tokens, or certificates in Dockerfile or ENV instructions",Critical,Secrets persist in image layers forever and are accessible to anyone with image access,DENY
DF_SEC_002,Do not pass secrets via build ARG,Dockerfile,Avoid using ARG for secrets as they persist in image layer metadata and build history,Critical,ARG values are visible in image history and can be extracted by attackers analyzing image layers,DENY
DF_SEC_003,Use Docker BuildKit secrets mount,Dockerfile,Use --secret flag with BuildKit to mount secrets during build without storing them in image,High,Secrets passed as ENV or ARG will be visible in final image and layer history,WARN
DF_SEC_004,Do not commit .env or secrets files,Dockerfile/.dockerignore,"Ensure .env, .aws, .ssh, and other secret files are listed in .dockerignore to prevent inclusion in build",Critical,Secret files accidentally copied into image expose credentials to anyone with image access,DENY
DF_PKG_001,Combine RUN apt-get update and install,Dockerfile,"In one RUN instruction, combine 'apt-get update' with 'apt-get install' and cleanup to reduce layers",Medium,Separate update and install commands can lead to stale package cache and failure to get latest patches,DOC ONLY
DF_PKG_002,Pin package versions explicitly,Dockerfile,Specify exact package versions (name=version) instead of allowing automatic version selection,High,Automatic version selection can introduce breaking changes or install known vulnerable versions,WARN
DF_PKG_003,Remove package manager cache,Dockerfile,Delete apt/apk cache after installing packages to reduce image size and remove temporary files,Low,Leftover cache wastes storage space and may contain stale package information,DOC ONLY
DF_PKG_004,Do not use APT for package installation,Dockerfile,Use apt-get or apk instead of apt command which is for interactive use and unstable,Low,APT command is non-deterministic and may change behavior in future versions,DOC ONLY
